dataset_id,slug,titulo,categoria,organizacion,recurso_nombre,formato,url_origen,ruta_local,bytes,http_status,sha256
18,aventura,Aventura,"Deporte, Educación y Salud",Dirección de Turismo,aventura.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/18/aventura.csv,datasets/18-aventura/archivos/aventura.csv,952,200,b61a6f3f8c980c9275cc408fbde81ab8af3a81044576480af41fbd149d2bc6dd
19,antecedentes-profesionales,Antecedentes Profesionales,Gobierno Municipal,Honorable Concejo Deliberante de Luján de Cuyo,cv-hcd.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/19/cv-hcd.pdf,datasets/19-antecedentes-profesionales/archivos/cv-hcd.pdf,1079247,200,f2e0dc29dbd75d0ded7f55acb4861137ca49179d95e4898a9b96dfed25faf206
20,gastronomia,Gastronomía,Turismo y Cultura,Dirección de Turismo,gastronomia.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/20/gastronomia.csv,datasets/20-gastronomia/archivos/gastronomia.csv,10219,200,5a4217648f100f62205d88354eda0b7adf7b72aadb609845680e620be7a5b306
21,radios-censales-lujan-de-cuyo,Radios Fracciones Censales Luján de Cuyo,Urbanismo y Territorio,Secretaría de Infraestructura y Desarrollo Sostenible,fracciones-lujan-de-cuyo.kmz,,https://datos.lujandecuyo.gob.ar/recursos/dataset/21/fracciones-lujan-de-cuyo.kmz,datasets/21-radios-censales-lujan-de-cuyo/archivos/fracciones-lujan-de-cuyo.kmz,269234,200,3093cf552f60510a370b4c56468bce97f4d28066fa48b9a0b4ac88a41cb871eb
21,radios-censales-lujan-de-cuyo,Radios Fracciones Censales Luján de Cuyo,Urbanismo y Territorio,Secretaría de Infraestructura y Desarrollo Sostenible,radios-lujan-de-cuyo.kmz,,https://datos.lujandecuyo.gob.ar/recursos/dataset/21/radios-lujan-de-cuyo.kmz,datasets/21-radios-censales-lujan-de-cuyo/archivos/radios-lujan-de-cuyo.kmz,402191,200,9394a6262ff60f2ee4903ef83e4cec79269e15f324b75081a137d4eadc167812
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,relleno-sanitario-controlado-el-borbollon.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/relleno-sanitario-controlado-el-borbollon.xlsx,datasets/22-residuos/archivos/relleno-sanitario-controlado-el-borbollon.xlsx,10840,200,955d46b1fefe78da8360e507357a3517dccfb19a9440b47ebd3b988b5466a259
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,residuos-tratados-y-recibidos-en-el-centro-verde.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/residuos-tratados-y-recibidos-en-el-centro-verde.xlsx,datasets/22-residuos/archivos/residuos-tratados-y-recibidos-en-el-centro-verde.xlsx,8976,200,1ac81ceebe36b4ae34062087e4705310ae6430263a838023f3d3b170bfa4ea94
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,informacion-datos-residuos-reciclables_-centro-verde.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/informacion-datos-residuos-reciclables_-centro-verde.pdf,datasets/22-residuos/archivos/informacion-datos-residuos-reciclables_-centro-verde.pdf,417592,200,fa25062edc31cd3662dc27eddac43356eb1016439743f917cacac6df19d8b7c4
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,metricas-centro-verde.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/metricas-centro-verde.xlsx,datasets/22-residuos/archivos/metricas-centro-verde.xlsx,151855,200,5cd258b62b6216b111cf02945de68351877b0e8ba80293284ae69a96834a32b6
22,residuos,Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,cantidad-rsu-borbollon-1.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/22/cantidad-rsu-borbollon-1.xlsx,datasets/22-residuos/archivos/cantidad-rsu-borbollon-1.xlsx,18140,200,57fa9f07c897fad3dbe2730e39cad2e39a95a531e05fa200bbed348420763a98
